counter,SenderResponse1a,SenderResponse1b,SenderResponse2a,SenderResponse2b,SenderResponse3a,SenderResponse3b,SenderResponse4a,SenderResponse4b,SenderResponse5a,SenderResponse5b,SenderResponse6a,SenderResponse6b,SenderResponse7a,SenderResponse7b,SenderResponse8a,SenderResponse8b,SenderResponse9a,SenderResponse9b,SenderResponse10a,SenderResponse10b,SenderResponse11a,SenderResponse11b
30,1.0,1000.0,1.0,83.0,1000.0,1000.0,1.0,58.0,1.0,1000.0,2.0,96.0,1.0,46.0,1000.0,1000.0,2.0,34.0,1.0,1000.0,2.0,1000.0
31,1.0,46.0,1.0,1000.0,1000.0,1000.0,1.0,94.0,1000.0,1000.0,1.0,25.0,1.0,29.0,1000.0,1000.0,1.0,65.0,2.0,1000.0,1000.0,1000.0
32,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,90.0,1.0,66.0,1000.0,1000.0,2.0,1000.0
33,1000.0,1000.0,2.0,41.0,2.0,1000.0,1.0,51.0,2.0,1000.0,1.0,1000.0,1.0,31.0,1000.0,1000.0,1.0,1000.0,1.0,67.0,1000.0,1000.0
34,2.0,1000.0,1.0,53.0,1.0,39.0,2.0,1000.0,1.0,42.0,2.0,44.0,1000.0,1000.0,2.0,88.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
35,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,1000.0,1.0,38.0,1.0,89.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1.0,23.0,1000.0,1000.0
36,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,14.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,47.0,1.0,1000.0
37,2.0,59.0,1000.0,1000.0,1000.0,1000.0,1.0,11.0,2.0,1000.0,1.0,1000.0,2.0,60.0,1000.0,1000.0,2.0,17.0,1000.0,1000.0,1000.0,1000.0
38,1000.0,1000.0,2.0,58.0,1.0,1.0,1000.0,1000.0,1.0,80.0,1.0,4.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,84.0,1000.0,1000.0
39,2.0,76.0,1000.0,1000.0,1.0,67.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,1000.0,2.0,1000.0,1000.0,1000.0
